2023-03-08:17:49:12,024, This Machine carries out 1 operations per second.
2023-03-08:17:49:12,037, ACTION: INTERNAL, Logical Clock Time: [0, 0, 1]
2023-03-08:17:49:13,043, ACTION: RECEIVE, Logical Clock Time: [0, 0, 2], # of remaining messages: 1
2023-03-08:17:49:14,048, ACTION: RECEIVE, Logical Clock Time: [1, 2, 3], # of remaining messages: 2
2023-03-08:17:49:15,054, ACTION: RECEIVE, Logical Clock Time: [8, 2, 4], # of remaining messages: 4
2023-03-08:17:49:16,061, ACTION: RECEIVE, Logical Clock Time: [8, 5, 5], # of remaining messages: 3
2023-03-08:17:49:17,068, ACTION: RECEIVE, Logical Clock Time: [10, 5, 6], # of remaining messages: 3
2023-03-08:17:49:18,071, ACTION: RECEIVE, Logical Clock Time: [13, 5, 7], # of remaining messages: 2
2023-03-08:17:49:19,078, ACTION: RECEIVE, Logical Clock Time: [13, 8, 8], # of remaining messages: 2
2023-03-08:17:49:20,085, ACTION: RECEIVE, Logical Clock Time: [23, 8, 9], # of remaining messages: 2
2023-03-08:17:49:21,091, ACTION: RECEIVE, Logical Clock Time: [23, 19, 10], # of remaining messages: 3
2023-03-08:17:49:22,094, ACTION: RECEIVE, Logical Clock Time: [39, 22, 11], # of remaining messages: 4
2023-03-08:17:49:23,098, ACTION: RECEIVE, Logical Clock Time: [40, 22, 12], # of remaining messages: 3
2023-03-08:17:49:24,105, ACTION: RECEIVE, Logical Clock Time: [43, 22, 13], # of remaining messages: 3
2023-03-08:17:49:25,111, ACTION: RECEIVE, Logical Clock Time: [46, 22, 14], # of remaining messages: 4
2023-03-08:17:49:26,118, ACTION: RECEIVE, Logical Clock Time: [48, 28, 15], # of remaining messages: 5
2023-03-08:17:49:27,121, ACTION: RECEIVE, Logical Clock Time: [55, 28, 16], # of remaining messages: 5
2023-03-08:17:49:28,126, ACTION: RECEIVE, Logical Clock Time: [60, 28, 17], # of remaining messages: 5
2023-03-08:17:49:29,133, ACTION: RECEIVE, Logical Clock Time: [62, 28, 18], # of remaining messages: 5
2023-03-08:17:49:30,138, ACTION: RECEIVE, Logical Clock Time: [64, 28, 19], # of remaining messages: 5
2023-03-08:17:49:31,142, ACTION: RECEIVE, Logical Clock Time: [64, 40, 20], # of remaining messages: 7
2023-03-08:17:49:32,148, ACTION: RECEIVE, Logical Clock Time: [71, 40, 21], # of remaining messages: 10
2023-03-08:17:49:33,154, ACTION: RECEIVE, Logical Clock Time: [77, 40, 22], # of remaining messages: 10
2023-03-08:17:49:34,159, ACTION: RECEIVE, Logical Clock Time: [82, 40, 23], # of remaining messages: 10
2023-03-08:17:49:35,162, ACTION: RECEIVE, Logical Clock Time: [85, 40, 24], # of remaining messages: 11
2023-03-08:17:49:36,169, ACTION: RECEIVE, Logical Clock Time: [85, 54, 25], # of remaining messages: 13
