2023-03-01:16:40:56,966, ACTION: INTERNAL, Logical Clock Time: [1, 0, 0]
2023-03-01:16:40:57,223, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [2, 0, 0]
2023-03-01:16:40:57,478, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [2, 0, 0]
2023-03-01:16:40:57,479, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [3, 0, 0]
2023-03-01:16:40:57,734, ACTION: INTERNAL, Logical Clock Time: [4, 0, 0]
2023-03-01:16:40:57,989, ACTION: RECEIVE, Logical Clock Time: [5, 0, 5], # of remaining messages: 0
2023-03-01:16:40:58,242, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [6, 0, 5]
2023-03-01:16:40:58,495, ACTION: RECEIVE, Logical Clock Time: [7, 0, 9], # of remaining messages: 0
2023-03-01:16:40:58,749, ACTION: RECEIVE, Logical Clock Time: [8, 0, 10], # of remaining messages: 0
2023-03-01:16:40:59,004, ACTION: RECEIVE, Logical Clock Time: [9, 0, 12], # of remaining messages: 0
2023-03-01:16:40:59,260, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [10, 0, 12]
2023-03-01:16:40:59,516, ACTION: INTERNAL, Logical Clock Time: [11, 0, 12]
2023-03-01:16:40:59,771, ACTION: RECEIVE, Logical Clock Time: [12, 0, 16], # of remaining messages: 0
2023-03-01:16:41:00,023, ACTION: RECEIVE, Logical Clock Time: [13, 0, 17], # of remaining messages: 0
2023-03-01:16:41:00,276, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [13, 0, 17]
2023-03-01:16:41:00,277, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [14, 0, 17]
2023-03-01:16:41:00,528, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [14, 0, 17]
2023-03-01:16:41:00,528, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [15, 0, 17]
2023-03-01:16:41:00,780, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [15, 0, 17]
2023-03-01:16:41:00,780, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [16, 0, 17]
2023-03-01:16:41:01,036, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [16, 0, 17]
2023-03-01:16:41:01,036, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [17, 0, 17]
2023-03-01:16:41:01,290, ACTION: INTERNAL, Logical Clock Time: [18, 0, 17]
2023-03-01:16:41:01,542, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [18, 0, 17]
2023-03-01:16:41:01,542, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [19, 0, 17]
2023-03-01:16:41:01,794, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [20, 0, 17]
2023-03-01:16:41:02,045, ACTION: INTERNAL, Logical Clock Time: [21, 0, 17]
2023-03-01:16:41:02,299, ACTION: RECEIVE, Logical Clock Time: [22, 0, 31], # of remaining messages: 0
2023-03-01:16:41:02,553, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [23, 0, 31]
2023-03-01:16:41:02,805, ACTION: RECEIVE, Logical Clock Time: [24, 0, 34], # of remaining messages: 0
2023-03-01:16:41:03,056, ACTION: RECEIVE, Logical Clock Time: [25, 0, 35], # of remaining messages: 0
2023-03-01:16:41:03,309, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [25, 0, 35]
2023-03-01:16:41:03,309, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [26, 0, 35]
2023-03-01:16:41:03,561, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [27, 0, 35]
2023-03-01:16:41:03,816, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [28, 0, 35]
2023-03-01:16:41:04,071, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [29, 0, 35]
2023-03-01:16:41:04,327, ACTION: RECEIVE, Logical Clock Time: [30, 0, 43], # of remaining messages: 0
2023-03-01:16:41:04,581, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [30, 0, 43]
2023-03-01:16:41:04,581, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [31, 0, 43]
2023-03-01:16:41:04,835, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [32, 0, 43]
2023-03-01:16:41:05,087, ACTION: INTERNAL, Logical Clock Time: [33, 0, 43]
2023-03-01:16:41:05,343, ACTION: RECEIVE, Logical Clock Time: [34, 0, 48], # of remaining messages: 0
2023-03-01:16:41:05,594, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [34, 0, 48]
2023-03-01:16:41:05,595, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [35, 0, 48]
2023-03-01:16:41:05,847, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [36, 0, 48]
2023-03-01:16:41:06,102, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [37, 0, 48]
2023-03-01:16:41:06,358, ACTION: RECEIVE, Logical Clock Time: [38, 0, 55], # of remaining messages: 0
2023-03-01:16:41:06,611, ACTION: INTERNAL, Logical Clock Time: [39, 0, 55]
2023-03-01:16:41:06,865, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [40, 0, 55]
2023-03-01:16:41:07,119, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [40, 0, 55]
2023-03-01:16:41:07,119, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [41, 0, 55]
2023-03-01:16:41:07,371, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [42, 0, 55]
2023-03-01:16:41:07,626, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [43, 0, 55]
2023-03-01:16:41:07,881, ACTION: RECEIVE, Logical Clock Time: [44, 0, 64], # of remaining messages: 0
2023-03-01:16:41:08,135, ACTION: RECEIVE, Logical Clock Time: [45, 0, 65], # of remaining messages: 0
2023-03-01:16:41:08,387, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [46, 0, 65]
2023-03-01:16:41:08,642, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [47, 0, 65]
2023-03-01:16:41:08,894, ACTION: RECEIVE, Logical Clock Time: [48, 0, 69], # of remaining messages: 0
2023-03-01:16:41:09,150, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [49, 0, 69]
2023-03-01:16:41:09,404, ACTION: RECEIVE, Logical Clock Time: [50, 0, 72], # of remaining messages: 1
2023-03-01:16:41:09,656, ACTION: RECEIVE, Logical Clock Time: [51, 0, 73], # of remaining messages: 0
2023-03-01:16:41:09,911, ACTION: RECEIVE, Logical Clock Time: [52, 0, 76], # of remaining messages: 0
2023-03-01:16:41:10,166, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [53, 0, 76]
2023-03-01:16:41:10,420, ACTION: RECEIVE, Logical Clock Time: [54, 0, 78], # of remaining messages: 0
2023-03-01:16:41:10,671, ACTION: RECEIVE, Logical Clock Time: [55, 0, 80], # of remaining messages: 0
2023-03-01:16:41:10,926, ACTION: RECEIVE, Logical Clock Time: [56, 0, 82], # of remaining messages: 0
2023-03-01:16:41:11,178, ACTION: RECEIVE, Logical Clock Time: [57, 0, 83], # of remaining messages: 0
2023-03-01:16:41:11,429, ACTION: RECEIVE, Logical Clock Time: [58, 0, 84], # of remaining messages: 0
2023-03-01:16:41:11,684, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [58, 0, 84]
2023-03-01:16:41:11,685, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [59, 0, 84]
