2023-03-01:16:42:47,020, ACTION: SEND, Recipient Machine: 1, Logical Clock Time: [0, 0, 1]
2023-03-01:16:42:48,022, ACTION: RECEIVE, Logical Clock Time: [0, 0, 2], # of remaining messages: 0
2023-03-01:16:42:49,023, ACTION: RECEIVE, Logical Clock Time: [0, 2, 3], # of remaining messages: 0
2023-03-01:16:42:50,026, ACTION: SEND, Recipient Machine: 1, Logical Clock Time: [0, 2, 3]
2023-03-01:16:42:50,026, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [0, 2, 4]
2023-03-01:16:42:51,029, ACTION: SEND, Recipient Machine: 1, Logical Clock Time: [0, 2, 5]
2023-03-01:16:42:52,033, ACTION: RECEIVE, Logical Clock Time: [0, 8, 6], # of remaining messages: 0
2023-03-01:16:42:53,035, ACTION: RECEIVE, Logical Clock Time: [0, 10, 7], # of remaining messages: 1
2023-03-01:16:42:54,038, ACTION: RECEIVE, Logical Clock Time: [0, 11, 8], # of remaining messages: 1
2023-03-01:16:42:55,040, ACTION: RECEIVE, Logical Clock Time: [0, 12, 9], # of remaining messages: 1
2023-03-01:16:42:56,042, ACTION: RECEIVE, Logical Clock Time: [7, 15, 10], # of remaining messages: 1
2023-03-01:16:42:57,048, ACTION: RECEIVE, Logical Clock Time: [7, 16, 11], # of remaining messages: 1
2023-03-01:16:42:58,051, ACTION: RECEIVE, Logical Clock Time: [7, 18, 12], # of remaining messages: 1
2023-03-01:16:42:59,052, ACTION: RECEIVE, Logical Clock Time: [7, 20, 13], # of remaining messages: 1
2023-03-01:16:43:00,052, ACTION: RECEIVE, Logical Clock Time: [7, 23, 14], # of remaining messages: 1
2023-03-01:16:43:01,055, ACTION: RECEIVE, Logical Clock Time: [7, 24, 15], # of remaining messages: 0
2023-03-01:16:43:02,058, ACTION: RECEIVE, Logical Clock Time: [7, 29, 16], # of remaining messages: 0
2023-03-01:16:43:03,060, ACTION: RECEIVE, Logical Clock Time: [15, 29, 17], # of remaining messages: 0
2023-03-01:16:43:04,063, ACTION: SEND, Recipient Machine: 1, Logical Clock Time: [15, 29, 18]
2023-03-01:16:43:05,068, ACTION: SEND, Recipient Machine: 1, Logical Clock Time: [15, 29, 18]
2023-03-01:16:43:05,069, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [15, 29, 19]
2023-03-01:16:43:06,073, ACTION: RECEIVE, Logical Clock Time: [16, 37, 20], # of remaining messages: 0
2023-03-01:16:43:07,077, ACTION: RECEIVE, Logical Clock Time: [16, 38, 21], # of remaining messages: 0
2023-03-01:16:43:08,082, ACTION: RECEIVE, Logical Clock Time: [16, 40, 22], # of remaining messages: 1
2023-03-01:16:43:09,083, ACTION: RECEIVE, Logical Clock Time: [16, 41, 23], # of remaining messages: 0
2023-03-01:16:43:10,085, ACTION: RECEIVE, Logical Clock Time: [16, 44, 24], # of remaining messages: 0
2023-03-01:16:43:11,110, ACTION: RECEIVE, Logical Clock Time: [16, 47, 25], # of remaining messages: 0
2023-03-01:16:43:12,114, ACTION: RECEIVE, Logical Clock Time: [16, 48, 26], # of remaining messages: 1
2023-03-01:16:43:13,116, ACTION: RECEIVE, Logical Clock Time: [16, 49, 27], # of remaining messages: 2
