2023-02-28:22:51:38,129, ACTION: INTERNAL , Logical Clock Time: [0, 0, 1]
2023-02-28:22:51:39,130, ACTION: RECEIVE , Logical Clock Time: [0, 1, 2] , # of remaining messages: 2
2023-02-28:22:51:40,134, ACTION: RECEIVE , Logical Clock Time: [2, 1, 3] , # of remaining messages: 3
2023-02-28:22:51:41,137, ACTION: RECEIVE , Logical Clock Time: [2, 3, 4] , # of remaining messages: 3
2023-02-28:22:51:42,139, ACTION: RECEIVE , Logical Clock Time: [6, 6, 5] , # of remaining messages: 3
2023-02-28:22:51:43,143, ACTION: RECEIVE , Logical Clock Time: [8, 6, 6] , # of remaining messages: 3
2023-02-28:22:51:44,149, ACTION: RECEIVE , Logical Clock Time: [13, 6, 7] , # of remaining messages: 2
2023-02-28:22:51:45,154, ACTION: RECEIVE , Logical Clock Time: [13, 12, 8] , # of remaining messages: 3
2023-02-28:22:51:46,160, ACTION: RECEIVE , Logical Clock Time: [20, 12, 9] , # of remaining messages: 2
2023-02-28:22:51:47,162, ACTION: RECEIVE , Logical Clock Time: [31, 12, 10] , # of remaining messages: 3
2023-02-28:22:51:48,165, ACTION: RECEIVE , Logical Clock Time: [33, 12, 11] , # of remaining messages: 2
2023-02-28:22:51:49,170, ACTION: RECEIVE , Logical Clock Time: [41, 35, 12] , # of remaining messages: 2
2023-02-28:22:51:50,174, ACTION: RECEIVE , Logical Clock Time: [44, 35, 13] , # of remaining messages: 3
2023-02-28:22:51:51,175, ACTION: RECEIVE , Logical Clock Time: [44, 41, 14] , # of remaining messages: 3
2023-02-28:22:51:52,177, ACTION: RECEIVE , Logical Clock Time: [57, 42, 15] , # of remaining messages: 4
2023-02-28:22:51:53,179, ACTION: RECEIVE , Logical Clock Time: [58, 42, 16] , # of remaining messages: 5
2023-02-28:22:51:54,184, ACTION: RECEIVE , Logical Clock Time: [61, 42, 17] , # of remaining messages: 6
2023-02-28:22:51:55,187, ACTION: RECEIVE , Logical Clock Time: [67, 42, 18] , # of remaining messages: 6
2023-02-28:22:51:56,193, ACTION: RECEIVE , Logical Clock Time: [68, 42, 19] , # of remaining messages: 6
2023-02-28:22:51:57,198, ACTION: RECEIVE , Logical Clock Time: [68, 56, 20] , # of remaining messages: 6
2023-02-28:22:51:58,204, ACTION: RECEIVE , Logical Clock Time: [68, 57, 21] , # of remaining messages: 7
2023-02-28:22:51:59,210, ACTION: RECEIVE , Logical Clock Time: [73, 60, 22] , # of remaining messages: 6
2023-02-28:22:52:00,213, ACTION: RECEIVE , Logical Clock Time: [73, 61, 23] , # of remaining messages: 6
2023-02-28:22:52:01,219, ACTION: RECEIVE , Logical Clock Time: [81, 61, 24] , # of remaining messages: 7
2023-02-28:22:52:02,224, ACTION: RECEIVE , Logical Clock Time: [81, 71, 25] , # of remaining messages: 8
